n,t,w
551, 0.000000192, tzhvrj
552, 0.000000257, lzssep
553, 0.000000195, dibtgq
554, 0.000000191, ejtech
555, 0.000000193, zapdou
556, 0.000000192, jrtuqp
557, 0.000000195, ccahjt
558, 0.000000188, ljegnb
559, 0.000000191, cfslqd
560, 0.000000191, jxpomz
561, 0.000000196, ovmxkc
562, 0.000000191, slaypq
563, 0.000000196, fpusmc
564, 0.000000192, whixrx
565, 0.000000271, pkqjyk
566, 0.000000191, surwdf
567, 0.000000190, jbnsdc
568, 0.000000191, pbnrkl
569, 0.000000247, mocifo
570, 0.000000194, ukxvjk
571, 0.000000193, yfqcdv
572, 0.000000247, qkjaea
573, 0.000000189, rswuhi
574, 0.000000192, cythub
575, 0.000000251, vymceq
576, 0.000000198, wjeily
577, 0.000000258, ktavsw
578, 0.000000190, mkehcn
579, 0.000000192, ejbept
580, 0.000000195, pxfqci
581, 0.000000189, pbicoz
582, 0.000000192, owokdo
583, 0.000000252, lkftig
584, 0.000000193, edclvq
585, 0.000000191, sgisde
586, 0.000000186, pjbthr
587, 0.000000199, hfrrgt
588, 0.000000265, agcwab
589, 0.000000193, asmbem
590, 0.000000187, ousgch
591, 0.000000191, uuxfnf
592, 0.000000193, ngqcyv
593, 0.000000189, ffmswl
594, 0.000000195, fprzsc
595, 0.000000190, ybtbfu
596, 0.000000189, ifcquq
597, 0.000000206, asgrze
598, 0.000000190, qqzmfz
599, 0.000000188, pdydpk
600, 0.000000336, iyjpua
601, 0.000000193, dvtwci
602, 0.000000190, fkkzar
603, 0.000000186, znpdsl
604, 0.000000195, thwtva
605, 0.000000196, dsmjfj
606, 0.000000190, ltyxdc
607, 0.000000188, uuottv
608, 0.000000186, jhvrjv
609, 0.000000194, bcogeq
610, 0.000000193, vpkuig
611, 0.000000192, izouxn
612, 0.000000191, gowmdj
613, 0.000000187, ocigyq
614, 0.000000192, vxqwlp
615, 0.000000190, ngstgo
616, 0.000000191, lmccim
617, 0.000000189, qppmvd
618, 0.000000190, gjkpnt
619, 0.000000192, pkqhdg
620, 0.000000188, urrgvh
621, 0.000000196, hwkcrv
622, 0.000000194, zciont
623, 0.000000196, mbjtow
624, 0.000000194, vkgqij
625, 0.000000196, rdxtud
626, 0.000000189, swsdcd
627, 0.000000190, azqwwq
628, 0.000000200, zvgjbk
629, 0.000000191, iyzsla
630, 0.000000192, werwtd
631, 0.000000187, bcbqtj
632, 0.000000191, yxwigt
633, 0.000000192, vcpaye
634, 0.000000192, sbcwmo
635, 0.000000249, tcyknj
